Program,mutant,catch_avg,avg_fitness,testcases
graphstate_indep_qiskit_5.qasm,f3,[0],[0.07105290283029522],"[{""ZIZIZ"": -0.764670059262978, ""ZIIZI"": 0.6916363221055087, ""IZIZZ"": 0.7655413308504089, ""ZZIZZ"": 0.6458446374593435, ""IZZZZ"": 0.501146058273436, ""ZIIII"": 0.22276493052864238, ""IZZII"": -0.3172563424724459, ""IIIZI"": -0.9697372273794845, ""ZIIIZ"": -0.7855744555457495, ""IZIII"": -0.26526088875359627, ""ZZZZI"": 0.711983180580222, ""ZZIIZ"": 0.18680155159107995}]"
graphstate_indep_qiskit_5.qasm,f2,[0],[0.11859089105977343],"[{""IIIZZ"": -0.8378944079189554, ""ZIIII"": -1.0, ""ZZIZI"": -0.6121857026342318, ""IIZZZ"": -0.5967391211881033, ""IZZII"": -0.6659644794595341, ""ZZZIZ"": -0.8669572757008689, ""ZZIIZ"": 0.32321131046682294, ""IZIZZ"": -0.8704918816007718, ""ZZZII"": 0.9797490564806887, ""IZZIZ"": 0.5349004651358079, ""ZZZZZ"": 0.19922382164402308, ""ZZIZZ"": 0.6125869202055774, ""IZIII"": -0.6911367977064905}]"
graphstate_indep_qiskit_5.qasm,f1,[0],[0.18996208602772674],"[{""ZIZII"": -0.9865094281384635, ""ZIIZI"": 0.24079167474896612, ""IZZZI"": 0.2322293947359521, ""ZIZIZ"": -0.9236676365240531, ""ZIIII"": 0.2768204067195813, ""ZZZII"": 0.4797284037413118, ""ZIZZZ"": -0.17331424698440695, ""ZIIIZ"": -0.19604779754947022, ""IZZIZ"": 0.4473772106849746, ""IZIII"": -0.6062506147293943, ""ZZZIZ"": 0.11853149500151, ""ZZIII"": -0.23015763242437706, ""IIIZZ"": -0.8601696262948004, ""IZIZI"": -0.8220486517009423}]"
graphstate_indep_qiskit_5.qasm,eq,[0],[0.07704187351371372],"[{""ZZIII"": -1.0, ""ZIZII"": 0.5597471415116101, ""IIZII"": -0.8531473350606252, ""ZZIZZ"": -0.4949565786467946, ""ZZZIZ"": 0.1334264088731295, ""IIZZZ"": 0.7914371173268452, ""IZZII"": -0.7303858593725742, ""ZIIZZ"": 0.13053813405181833, ""ZIZZZ"": -0.205734781429183, ""ZIIIZ"": 0.7948841152256962, ""IZIZI"": 0.5287394291299499, ""ZIIZI"": 0.20490934658981752, ""ZIIII"": -0.16933349201658643, ""ZZZZI"": -0.37560363595985996}]"
ghz_indep_qiskit_5.qasm,f3,[0],[0.08391901321899774],"[{""IZZIZ"": -0.2576812605721489, ""IZZII"": 0.9702375394444893, ""ZIIIZ"": 0.049366247420072736, ""IIZIZ"": 0.7432925862020154, ""IIIIZ"": 0.9993930664195002, ""IZIZI"": -0.3402381530816894, ""IIIZZ"": -0.5771389340495057, ""ZIZII"": -0.7120068141245811, ""IZIIZ"": -0.17146380471662184, ""ZIIZZ"": 0.6056928124210275, ""ZZIZI"": 0.27894305716667495, ""IIIZI"": 0.9717279273886513, ""IZIZZ"": 0.9257432935705477}]"
ghz_indep_qiskit_5.qasm,f2,[0],[0.1052106785955802],"[{""IZIZZ"": 0.1415479023581424, ""ZIZZZ"": -0.8701950867724434, ""ZZZZZ"": 0.6721707687292868, ""IZZZZ"": -0.7399574675644265, ""IIIZI"": 0.6868163131799693, ""ZIZII"": -0.7444383899955133, ""ZZZII"": 0.30561283865060546, ""IIZZZ"": 0.8540261443108936, ""ZZZIZ"": -0.6960727680761983, ""IIZIZ"": 0.21627467033728268, ""IIZII"": 0.7762629577984661, ""ZIZIZ"": -0.34001405403873064, ""IZZIZ"": 0.1508214568466803}]"
ghz_indep_qiskit_5.qasm,f1,[0],[0.11149042644557106],"[{""IIIIZ"": 0.8784281266955674, ""IZZIZ"": 0.4666958949596158, ""ZIZZZ"": 0.6686219766401, ""IIZZI"": -0.22824107235340016, ""ZZIII"": -0.18217318832683665, ""ZZIZZ"": 0.7596067811256594, ""ZZIIZ"": 0.6905253363449253, ""IIZIZ"": -0.4001278351659987, ""ZZZIZ"": -0.21380690527674198, ""IZIII"": 0.048239828750037794, ""ZIIZI"": -0.24932690294140347, ""IZIZZ"": -0.014396638112286565, ""IZIZI"": 0.7363279935389543, ""IIZII"": 0.9314263400950056, ""ZIZIZ"": 0.602858900419037, ""ZIIZZ"": -0.02479235961596737}]"
ghz_indep_qiskit_5.qasm,eq,[0],[0.06789511243353052],"[{""IZZII"": -0.011105239070169283, ""IZIZZ"": 0.8681632316148479, ""ZIZZI"": 0.2053630505303648, ""ZZIZI"": -0.7240419476613204, ""IIIIZ"": 0.9977897104960295, ""IZZIZ"": 0.455516907631169, ""IIZZZ"": 0.4214982017809623, ""ZZIZZ"": 0.04333095418092729, ""IZIIZ"": 0.015338196419749872, ""ZZZZZ"": 0.38540282193696296, ""ZIZZZ"": -0.8563923042029363, ""ZZIIZ"": 0.15027324373772968}]"
dj_indep_qiskit_5.qasm,f3,[0],[0.07706050194618297],"[{""ZZIIZ"": -0.8470819624068392, ""ZZZIZ"": 0.3707669459359514, ""ZIIIZ"": -0.33809152263991343, ""IZIIZ"": 0.9494004777118191, ""ZIZZI"": -0.22127709805211454, ""ZZIZZ"": 0.3542056445489359, ""ZIZII"": -0.39352445683542986, ""IZIII"": -0.742856243480503, ""IIZII"": 0.715460087131326, ""ZIIZZ"": -0.6546477769128414, ""ZIIZI"": 0.699751986120786, ""ZZIZI"": -0.2672193971649676, ""IZIZI"": -0.8106904381572825, ""ZZIII"": 0.6965156679868124}]"
dj_indep_qiskit_5.qasm,f2,[0],[0.07869421358943374],"[{""ZZIIZ"": 0.980705109727281, ""IZIZZ"": 0.17734467526550624, ""IIIZI"": -0.2205822440661841, ""IZIII"": -0.2521852815435741, ""IIZIZ"": -0.9078037638325015, ""ZIIIZ"": -0.7002596179374584, ""IIZZZ"": 0.34778266035082134, ""IZIZI"": -0.3156379327274215, ""ZIZII"": -0.4188684919848886, ""ZIZIZ"": 0.41752805008206495, ""ZIZZZ"": -1.0, ""ZZIZZ"": 0.6866314674591917}]"
