Program,mutant,catch_avg,avg_fitness,testcases
ae_indep_qiskit_5.qasm,2,1.0,0.40725403839893326,"[{""ZIIIZ"": 1.0, ""IZZII"": -0.4609567332736145, ""ZIIZI"": 1.0, ""IIIIZ"": 0.15274194361258908, ""IIZIZ"": -0.08011828570889967, ""IZIZZ"": -1.0, ""IIIZI"": 0.5573607309450125, ""ZIZII"": -1.0, ""IZIZI"": -1.0, ""IIZZI"": 0.6773392750628444, ""ZIZZZ"": -0.39103477918813756, ""ZZIII"": 0.14120253226876117, ""ZZZZI"": -1.0, ""IZZZZ"": -1.0, ""ZZZZZ"": 1.0, ""ZZIIZ"": 1.0, ""IZIIZ"": -1.0, ""ZIZZI"": -1.0, ""IZZZI"": -0.3833722766917522}]"
ae_indep_qiskit_5.qasm,1,1.0,0.10574806831733197,"[{""ZIZZI"": -0.6789492189871641, ""ZZIII"": 0.6955063177376137, ""IIIIZ"": -1.0, ""IZIII"": -1.0, ""IZIZI"": -1.0, ""IIZZZ"": 1.0, ""ZIIII"": -1.0, ""ZIZIZ"": 0.4823076306368167, ""IIZZI"": -0.3274598574451442, ""IZIZZ"": -1.0, ""ZZIIZ"": 0.07103803587999002, ""ZZZII"": 0.23476244008557656, ""ZIIZI"": -0.7908046724513522, ""IZZII"": 0.9103093948294356, ""IZZZI"": 0.7185354935826413, ""IIZII"": 1.0, ""ZZIZZ"": 0.7013487158516749, ""ZIIZZ"": -1.0, ""ZIZZZ"": 1.0}]"
ae_indep_qiskit_5.qasm,0,1.0,0.11321378470245325,"[{""ZZZIZ"": 1.0, ""ZIZIZ"": -0.5476978299017382, ""IIZZZ"": -0.8107447004633753, ""IZIZI"": 0.6203436655165226, ""IIZII"": -0.746536862588075, ""ZIIZZ"": -0.8964692666134821, ""IIZZI"": -1.0, ""ZIIIZ"": -1.0, ""IZZIZ"": -1.0, ""ZZIII"": 1.0, ""ZZIIZ"": 0.022703241395638063, ""IZZII"": 1.0, ""IZZZZ"": -1.0, ""ZZIZZ"": -0.17198761571872342, ""IZIII"": 1.0, ""ZZIZI"": -1.0, ""ZZZZZ"": -0.27341178640693464}]"
su2random_indep_qiskit_5.qasm,2,1.0,0.2146526070590234,"[{""ZIZZZ"": 0.19810797864074892, ""ZZZIZ"": -0.5680396889631125, ""ZZIIZ"": -1.0, ""IZIZI"": 1.0, ""ZZIZZ"": 1.0, ""ZIZZI"": 0.8313918997533676, ""ZIZII"": 1.0, ""IZIZZ"": -0.3804170479349075, ""IZZII"": -0.19826732785183343, ""IIIZZ"": 1.0, ""ZIZIZ"": -1.0, ""IIIIZ"": 0.18330261624289934, ""IZZIZ"": 0.2524109726109404, ""ZIIII"": -1.0, ""IZZZI"": 1.0, ""IZIIZ"": -1.0, ""ZIIZI"": 0.5637155517759276, ""IIIZI"": 0.94135141108885, ""ZIIZZ"": -1.0, ""ZZZZZ"": 0.4400999051089538, ""ZZZZI"": 1.0}]"
su2random_indep_qiskit_5.qasm,1,1.0,0.13824127005643705,"[{""IIIIZ"": -1.0, ""IZIII"": -0.5675399647061101, ""IZIZI"": 1.0, ""ZZIII"": 1.0, ""IIZIZ"": 1.0, ""ZIZZI"": -0.7121015803469928, ""ZZZIZ"": 0.9859489265904162, ""IIZII"": -1.0, ""IZZZZ"": 1.0, ""ZIZII"": 1.0, ""IIZZI"": 1.0, ""IZZII"": -1.0, ""IIIZI"": -0.042441500511989895, ""ZIIII"": -0.5030324770814212, ""ZIZIZ"": -0.19572360491659102, ""IIIZZ"": -1.0, ""ZZIZI"": -1.0, ""IZZZI"": -1.0, ""ZZIIZ"": -0.8329171818416807}]"
su2random_indep_qiskit_5.qasm,0,1.0,0.22372221657094815,"[{""ZZZII"": -1.0, ""IIZIZ"": -0.05723304162807841, ""IZIIZ"": -0.17520732049724475, ""IZIZZ"": -0.8005300870639785, ""IZZIZ"": 0.31169801319435375, ""ZZIII"": 1.0, ""ZIZZI"": -1.0, ""ZIIIZ"": 0.0036485175918918866, ""ZIZII"": 0.9388323637062732, ""ZZZZZ"": -0.8984295210440296, ""IIIZI"": -0.16220602679659835, ""ZZIIZ"": -1.0, ""IZIZI"": 0.412320123727975, ""IIZZZ"": 1.0, ""IIZII"": -1.0, ""IZZZZ"": -1.0, ""IIIIZ"": -0.677699911654607, ""ZIIZI"": 0.7439675426363359, ""IZZZI"": 1.0, ""IZZII"": 1.0, ""ZIZZZ"": 1.0, ""IZIII"": 1.0}]"
wstate_indep_qiskit_5.qasm,2,1.0,0.10830309755481116,"[{""IZZII"": -1.0, ""ZZZII"": -1.0, ""ZIIZZ"": 1.0, ""ZIZZZ"": -0.68283073859824, ""IIZIZ"": 0.6417570323147428, ""ZZZIZ"": 0.19391143599687008, ""IZZIZ"": -1.0, ""IIZZI"": 0.19549427415498122, ""ZIIZI"": 1.0, ""IZIII"": 1.0, ""ZZIZZ"": -1.0, ""IIIZI"": -0.12306088227909784, ""IZZZZ"": -1.0, ""ZZZZI"": -1.0, ""ZIIIZ"": 1.0, ""IZIZI"": -0.6066007350269412, ""IIZII"": -0.07010796574157868, ""ZZIZI"": -1.0, ""IIIIZ"": -0.4562519193952923}]"
wstate_indep_qiskit_5.qasm,1,1.0,0.13918319899653953,"[{""IZIII"": -0.5328282067543452, ""ZZIIZ"": -1.0, ""ZIZIZ"": 1.0, ""IZZZZ"": 0.13405201316416526, ""IIZIZ"": 1.0, ""IIZZZ"": 0.1109667708067247, ""ZIIZZ"": -0.50956270029694, ""IZIZZ"": -1.0, ""IIZII"": 1.0, ""ZZZZI"": 0.5288279281576619, ""ZIIZI"": -1.0, ""ZIZII"": -1.0, ""ZZZZZ"": -0.2820982457885043, ""IZIIZ"": 1.0, ""IIIZZ"": -1.0, ""IZZIZ"": 1.0, ""IIZZI"": -0.7400325996338297, ""IZIZI"": -1.0}]"
wstate_indep_qiskit_5.qasm,0,1.0,0.10640834928021503,"[{""ZIIZZ"": 0.1780809570705545, ""ZZZII"": 0.7299209107990725, ""IIZZZ"": 0.053237541456979565, ""ZZIIZ"": 1.0, ""IIZIZ"": 1.0, ""IZIII"": 0.4629715464705092, ""IZIIZ"": -1.0, ""IZZZZ"": 1.0, ""IZIZZ"": -0.0910282220083356, ""ZIZZZ"": -0.5223119185537193, ""IZIZI"": 0.2667886963906403, ""ZZIII"": -1.0, ""ZZZIZ"": -0.4835283099990998, ""ZIZZI"": 1.0, ""IIIIZ"": -1.0, ""ZIIZI"": -1.0, ""ZIZII"": 0.5532950584268256, ""ZIIII"": -1.0, ""ZZZZZ"": 1.0, ""IZZZI"": 1.0, ""ZIIIZ"": -1.0}]"
dj_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
