Program,mutant,catch_avg,avg_fitness,testcases
ae_indep_qiskit_5.qasm,2,1.0,0.35583462600816085,"[{""IZIZZ"": 0.3819563641396073, ""IIZZI"": -0.9062345341654947, ""ZIZZZ"": -0.5718579228411904, ""IIZIZ"": -0.758278317739093, ""ZZIZI"": 0.8251769499901014, ""ZIIIZ"": 0.948040819215733, ""IZIZI"": -0.5232890512690562, ""IZZII"": 0.9266508880244382, ""ZIZIZ"": -0.9536990493988677, ""IZIIZ"": 0.12798537889225026, ""ZIZZI"": -0.8315041426441969, ""IIIIZ"": 0.8305106512935776, ""ZIZII"": -0.12432517064861015, ""ZZZII"": 0.4141889988235259, ""ZIIZZ"": 0.04473210876041267, ""ZIIZI"": 0.9711739117481704, ""IIZII"": 0.19444400644570647, ""ZZZZZ"": 0.0476514507510144, ""ZZZIZ"": -0.20937242205454942, ""ZZZZI"": 0.19103044056646845, ""IIIZI"": 0.3870934793350722, ""IIZZZ"": 0.7401959501536828}]"
ae_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
ae_indep_qiskit_5.qasm,0,0.0,0.0,[{}]
su2random_indep_qiskit_5.qasm,2,1.0,0.21649157375377936,"[{""ZIIII"": -0.6900571087539196, ""ZZZZZ"": 0.9725813261386205, ""ZIIZI"": -0.24574778941873654, ""ZIZZI"": -0.4501807077842628, ""ZIIIZ"": -0.40919020869274947, ""ZZIIZ"": 0.3154325387295214, ""ZIZII"": -0.74598832603244, ""ZIIZZ"": -0.6481602534748292, ""ZIZZZ"": -0.8900264051108597, ""ZIZIZ"": -0.4815944214157859, ""IIZZI"": -0.1351545757643422, ""IZIZZ"": 0.2839683471399639, ""ZZIZZ"": 0.9713283604705005, ""IIZIZ"": 0.006155982887814382, ""IIZZZ"": -0.5186552951904453, ""ZZZZI"": 0.945212302075483, ""ZZIII"": 0.9468256287364682, ""IZZII"": 0.8843162710719448, ""IZIZI"": -0.4236015132546216, ""ZZZIZ"": 0.9256137140016831, ""IZIIZ"": -0.9133569224241347, ""ZZZII"": 0.7768742464025538}]"
su2random_indep_qiskit_5.qasm,1,1.0,0.1964864337649901,"[{""IIZZZ"": 0.450997563657215, ""IZZZZ"": 0.06452653669829411, ""IZZIZ"": -0.23631147777340078, ""ZIZZI"": 0.9857621120229962, ""IZIIZ"": 0.1361480742732033, ""ZIIZI"": 0.3185210621419967, ""IIZZI"": 0.827783776066852, ""ZZIIZ"": 0.8646537675921115, ""IZZZI"": -0.9965288933788308, ""ZZZZZ"": 0.4021268158121116, ""ZZZIZ"": -0.9978903263745309, ""ZZZII"": 0.9960867404045479, ""ZZZZI"": -0.7538390390449101, ""ZIZZZ"": -0.8716959904366479, ""ZIIIZ"": -0.810626161833667, ""ZIIII"": 0.11421433920792268, ""IZIII"": -0.7312634046889503, ""IIIZI"": 0.6262478601960293, ""IIIIZ"": -0.4813082632129033, ""IZIZI"": -0.7588322743577658, ""ZIZIZ"": 0.7535048746044049, ""IZIZZ"": -0.8926999134408604}]"
su2random_indep_qiskit_5.qasm,0,1.0,0.2911592455850104,"[{""ZIIIZ"": 0.15604404618938328, ""ZIZIZ"": 0.8822145971185884, ""ZZZII"": -0.6974678986657561, ""ZIIII"": -0.7582744459417019, ""IZZZZ"": 0.5397234080936664, ""IIIIZ"": -0.8928880007243729, ""IIZIZ"": -0.26246665120631096, ""ZIZZZ"": 0.8913711402000846, ""ZIIZZ"": -0.44634154368972845, ""ZZZZZ"": -0.845293224868926, ""IZIZZ"": 0.4829848028545194, ""ZZIZZ"": 0.34021518811717, ""IIIZZ"": -0.9274360647614608, ""IZIZI"": 0.9616415539280181, ""IZZII"": 0.5580273347379685, ""ZZIII"": 0.6513727678577332, ""IIZZZ"": 0.126284806346034, ""IZZIZ"": 0.7068654186319734, ""IZIIZ"": 0.9598823129977743, ""ZIIZI"": 0.85532228608035}]"
wstate_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
wstate_indep_qiskit_5.qasm,1,1.0,0.1033373247066045,"[{""IIIZI"": 0.32428271831711286, ""IZZZZ"": -0.8005282361144832, ""IIIZZ"": -0.47168577406223533, ""ZIZZZ"": 0.3222859439588672, ""ZIZZI"": -0.9377971760256398, ""ZZZZI"": -0.7219872942649352, ""IZIZZ"": -0.9967742908373975, ""ZZIII"": 0.20798268233248152, ""ZZZZZ"": -0.8874354825726487, ""IZZZI"": -0.8865105239005133, ""IZIIZ"": -0.8143917062839225, ""ZZIIZ"": -0.3710750305766706, ""IIZZZ"": -0.857445948538704, ""ZZIZI"": 0.3825570627887205, ""ZIIII"": 0.4623266506669377, ""IZZIZ"": -0.9042031924335179, ""ZZIZZ"": 0.31387491516833754, ""IZIII"": -0.6450529025625842, ""ZIZIZ"": 0.6506902197161009, ""ZIIZI"": 0.9154208092632921, ""IIZIZ"": -0.001589104832437238, ""IZZII"": -0.2047773767576313, ""IIZII"": -0.05621754195094142}]"
wstate_indep_qiskit_5.qasm,0,1.0,0.10824292205523012,"[{""IIIZI"": -0.23909096887004022, ""ZIIZI"": -0.8862324027813122, ""ZIZZI"": 0.3526527201361158, ""IZIZZ"": 0.6403160506711809, ""IIZZZ"": -0.05777302548420904, ""ZIIZZ"": 0.5915265399661558, ""IIZZI"": 0.45112395025928964, ""ZIZIZ"": 0.7316387402002504, ""ZZZIZ"": -0.6989275507998016, ""IZZIZ"": 0.4182592626940138, ""IZZZZ"": -0.07455233779697634, ""ZZIIZ"": -0.532665145371487, ""IIIZZ"": 0.9769316406951245, ""IZZZI"": -0.9529425847755364, ""ZIIII"": 0.843834165059528, ""IIZII"": 0.7725876584646474, ""ZZIZI"": -0.6525844216984065, ""ZZZII"": -0.5726135067979168, ""IZIIZ"": 0.9018064928951024, ""ZIIIZ"": 0.5455333894570482, ""IZIII"": -0.6928216054701395, ""ZZZZI"": -0.8772070920325197, ""ZZIZZ"": 0.8735397768682072}]"
dj_indep_qiskit_5.qasm,2,1.0,0.12768338225498477,"[{""ZZIZZ"": -0.9009304769386, ""ZIZII"": -0.5616301417826715, ""ZZIZI"": -0.5969145835867526, ""IZIII"": -0.1684350057484605, ""ZIIII"": -0.5006791093328511, ""ZIZIZ"": 0.9969247969496697, ""IZIZZ"": -0.7255995903767283, ""ZZIII"": -0.5409328544238501, ""ZZZZI"": -0.726345236386726, ""ZIZZZ"": -0.157317389619134, ""IZZII"": 0.6861405166036745, ""ZIIZZ"": 0.8737951890386084, ""IZIIZ"": -0.2722359903238665, ""ZIIZI"": -0.9015022016266465, ""ZIIIZ"": -0.5640942819336121, ""ZZIIZ"": 0.8215837600042029, ""IZZZZ"": -0.7304812929676257, ""IIIZZ"": 0.47761458471370277, ""ZZZZZ"": 0.019910829800258156, ""ZZZIZ"": -0.9344379362888078, ""IZIZI"": -0.999457320299}]"
dj_indep_qiskit_5.qasm,1,1.0,0.11526815244469524,"[{""ZZIZI"": -0.5239371698691395, ""IZIZZ"": 0.11158716585585826, ""ZZZZI"": 0.9152849349856984, ""ZZZIZ"": 0.22679782614160926, ""ZIZIZ"": -0.7706603807984047, ""ZIIII"": -0.6987019324548274, ""IZZZI"": 0.7837028948941933, ""ZIZZI"": -0.9022047888759896, ""ZZIZZ"": 0.7536978776997518, ""IZZIZ"": -0.998768680332214, ""ZIIIZ"": 0.7039045398351933, ""ZZZZZ"": -0.9668262058662092, ""IIZII"": -0.8170319806539599, ""IIIIZ"": 0.627877869518565, ""IIZIZ"": -0.8827730891057624, ""IIZZZ"": 0.690442436194612, ""IIIZI"": 0.24194940454962932, ""ZIIZI"": 0.37455843604899, ""IZIIZ"": 0.702783021410188, ""IZZII"": -0.05039359446165492, ""ZZZII"": 0.09573911461871232, ""IZIII"": 0.014283421047651457, ""IIZZI"": 0.8427585615106521}]"
