Program,mutant,catch_avg,avg_fitness,testcases
ae_indep_qiskit_5.qasm,2,1.0,0.3235671945709385,"[{""ZIIZI"": 0.8890281922146808, ""ZIIZZ"": -0.15491393007254817, ""ZZIIZ"": 0.39186479263370977, ""ZZZII"": 0.8132753570253071, ""IZZZI"": 0.6201303811285566, ""ZZZZI"": -0.598950323108622, ""IIZIZ"": -0.9262037160402221, ""ZIZIZ"": -0.8039878611732942, ""IZZII"": -0.20690308199767515, ""ZIZZZ"": -0.8083767268106699, ""IZIZZ"": -0.191834333708244, ""ZZZZZ"": -0.4464348103618687, ""IIIZI"": -0.5676483165132773, ""IZZIZ"": 0.49475516323067614, ""ZZZIZ"": -0.9076638408115125, ""IZIZI"": 0.012375036040754628, ""ZZIZI"": -0.5648534143126824, ""ZZIII"": 0.006134882077331039, ""ZIIIZ"": 0.6857654559171702, ""ZIZII"": -0.5984841406138517, ""IIZZZ"": -0.7477069576158353, ""IZIIZ"": 0.06781394307908184}]"
ae_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
ae_indep_qiskit_5.qasm,0,1.0,0.1273661169982912,"[{""ZIZIZ"": -0.13076062254023016, ""ZZZZI"": 0.16251976203686608, ""IZZIZ"": -0.8250846867182177, ""IZIII"": 0.1294189692060394, ""IZZII"": -0.16251383416351972, ""ZIZII"": 0.5760738524761359, ""ZZZZZ"": 0.7853523544519816, ""IZIZI"": -0.9499995884386709, ""ZZIZZ"": -0.8747110495483102, ""ZIIZZ"": -0.9660216179240381, ""ZIZZZ"": 0.8674952087610472, ""ZZZII"": -0.1528705197981745, ""ZZIZI"": 0.77789392079079, ""ZIZZI"": 0.3476632526482489, ""ZIIII"": -0.6883514296977392}]"
su2random_indep_qiskit_5.qasm,2,1.0,0.12012104626901665,"[{""ZZZZZ"": 0.30967137563895897, ""IZZZZ"": 0.3402470998160687, ""ZIZII"": 0.3368213920935295, ""ZIIZI"": 0.15393492594851066, ""ZIIIZ"": -0.5526885650992218, ""ZIZZI"": 0.42109229158585554, ""ZZIZZ"": 0.9892714724149945, ""IZIZZ"": 0.48301006537466673, ""IZIII"": 0.6949370264095955, ""ZZIII"": 0.7442121688259478, ""ZIIII"": -0.9229314919551712}]"
su2random_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
su2random_indep_qiskit_5.qasm,0,1.0,0.16831957538475978,"[{""ZZZZZ"": -0.07412083696450422, ""ZZZII"": 1.0, ""ZZIZI"": 0.7220223727416354, ""ZIZIZ"": -1.0, ""ZIZZZ"": -0.4016832590667828, ""IZZIZ"": 0.4812074557714756, ""ZIIZI"": -0.7728608482133902, ""ZZIZZ"": -0.7937761669051017, ""ZZIIZ"": 0.8913050462709968, ""ZZIII"": -1.0}]"
wstate_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
wstate_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
wstate_indep_qiskit_5.qasm,0,0.0,0.0,[{}]
dj_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
dj_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
dj_indep_qiskit_5.qasm,0,1.0,0.7815414117661527,"[{""ZZZZZ"": 0.7277367027062611, ""IZIIZ"": 0.8255809510374341, ""ZZIZI"": 0.85746409690324, ""ZZIZZ"": -1.0, ""ZZZZI"": -1.0, ""ZIIZI"": 0.7341689574923114, ""IZZIZ"": 0.674900648399021, ""ZZIIZ"": 0.5633906963161914, ""ZZIII"": -0.8435456885192278, ""ZIIII"": 0.6181984438416539, ""ZIZII"": -0.8757992332832903, ""IZIII"": 0.1088835211249404, ""ZZZII"": 0.5114312587374973, ""ZIZZI"": 1.0}]"
qnn_indep_qiskit_5.qasm,2,1.0,0.14911974887059165,"[{""ZZZZZ"": 0.28220562869911203, ""IZZII"": -0.23219090972576925, ""IZIZZ"": 0.680587941338103, ""ZZZIZ"": -1.0, ""ZIIIZ"": -1.0, ""ZIZZZ"": 0.721111480592718, ""IZZZI"": -0.1444949397722871, ""ZZIZI"": 0.8548957699011809, ""ZZIZZ"": -0.7089345446775615, ""IZZZZ"": 0.37396549709516524, ""IZIII"": -0.12087423454908713, ""ZZZII"": 0.9835585152319521, ""ZIIZI"": 0.1370541311315504, ""ZZIII"": 1.0}]"
qnn_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
qnn_indep_qiskit_5.qasm,0,1.0,0.22162898634649814,"[{""ZZZZZ"": -0.9659995667552981, ""ZIZZZ"": -1.0, ""ZIIII"": 1.0, ""ZZIZI"": 0.8983187769653358, ""ZZZZI"": 0.12380885416541146, ""ZZIIZ"": -0.7569995823618236, ""ZIIZZ"": -1.0}]"
graphstate_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
graphstate_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
graphstate_indep_qiskit_5.qasm,0,1.0,0.13440670257930307,"[{""IIIIZ"": 0.6824399783722066, ""IZIZZ"": -0.44200564617842497, ""IIIZI"": -0.9945603368083709, ""IZIII"": -0.0718334851989777, ""IZIZI"": 0.15238032187938177, ""ZIZZZ"": 0.5362662460135954, ""IZZZI"": -0.3845151586455198, ""IZZIZ"": 0.28265524844319634, ""IIZZZ"": -0.401269001822931, ""ZIIZZ"": -0.9672378655939333, ""ZZZZI"": 0.25211506507719617, ""ZZZZZ"": 0.035419884467110974, ""ZZIZI"": -0.6988455420483046, ""IZZZZ"": -0.6397928125319088, ""ZIIZI"": -0.12426521945230617, ""IZIIZ"": -0.711472822778541, ""ZZIZZ"": -0.3642210195244022, ""ZIZZI"": 0.7818418584055489, ""ZIZIZ"": 0.7556629624662463, ""ZZIIZ"": -0.7740058977559778, ""IIZIZ"": -0.5905330141049361}]"
twolocalrandom_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
twolocalrandom_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
twolocalrandom_indep_qiskit_5.qasm,0,1.0,0.10418988583452127,"[{""ZZZZZ"": 0.9093165098899801, ""ZZIZI"": 1.0, ""ZZIZZ"": -0.2813401179702009, ""IZIZI"": 0.6208111606392885, ""ZIZIZ"": 0.31663226148779144, ""ZIZZZ"": -0.7330481767064314, ""ZZIIZ"": 0.1525834585116494, ""ZIIIZ"": 0.04071630009395241, ""ZZZII"": -0.9222054368227252, ""ZIIZI"": 0.018052131239360503, ""ZZZZI"": 1.0, ""ZZZIZ"": -0.13332506740036387, ""ZIIZZ"": -0.6654089307714256}]"
random_indep_qiskit_5.qasm,2,1.0,0.1231275356591921,"[{""ZIIII"": -0.767746952167561, ""IZIIZ"": -0.3138021714155969, ""ZZZZZ"": -1.0, ""ZIIZZ"": -0.22729852137751083, ""ZZZIZ"": 0.513500939849963, ""ZZIIZ"": 0.12258495158461014, ""ZZZZI"": 0.006917360873851974, ""IZZIZ"": 0.7063830562717432, ""ZZIII"": -1.0, ""ZZIZZ"": -0.5243243043534425, ""ZIZII"": -0.5990124154843072, ""ZIIZI"": 1.0, ""ZIZZI"": -0.28731708703696013, ""IIZIZ"": -0.00492584260497235, ""IIZZZ"": 1.0}]"
random_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
random_indep_qiskit_5.qasm,0,0.0,0.0,[{}]
realamprandom_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
realamprandom_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
realamprandom_indep_qiskit_5.qasm,0,1.0,0.12004828646751653,"[{""IIZZZ"": -0.4085227218265898, ""ZZZZZ"": 1.0, ""ZIZIZ"": 1.0, ""ZIIII"": 0.5829565057129317, ""ZZZIZ"": 1.0, ""ZZZZI"": 1.0, ""ZIZZI"": 0.18445582847438907, ""IZIII"": 0.4457157424273314, ""ZIZII"": 0.5467859121012076, ""ZZZII"": 0.013659110974014843, ""ZIIZZ"": -1.0, ""ZZIIZ"": 1.0, ""ZIIZI"": -0.23057509574231203, ""ZZIZI"": 1.0, ""IZZIZ"": 1.0, ""ZIZZZ"": -1.0, ""IZIIZ"": 0.6362395561209784}]"
ghz_indep_qiskit_5.qasm,2,0.0,0.0,[{}]
ghz_indep_qiskit_5.qasm,1,0.0,0.0,[{}]
ghz_indep_qiskit_5.qasm,0,0.0,0.0,[{}]
