Program,mutant,catch_avg,avg_fitness,testcases
wstate_indep_qiskit_5.qasm,f3,"[0, 0, 0, 0, 0]","[0.7930873990298384, 0.7103312973055509, 0.6399917923748843, 0.8870705575463129, 0.6889204297165135]","[{""IZZIZ"": -0.47724878986418723, ""IIZII"": -0.1574788829816312, ""ZZZZI"": -0.5163275095155394, ""ZIIIZ"": 0.2867111098915796, ""IZZZZ"": -0.75202286084071, ""ZZIII"": 0.30733912185520285, ""ZIIZZ"": -0.5332159507652079, ""IZIII"": -0.8224685628526365, ""IIIZI"": -0.0540347271757374, ""ZIZII"": -0.6488891376812237, ""IIZIZ"": -0.8469622557263162, ""IZIZI"": 0.11585353224628274, ""ZIIZI"": 0.7752768305475172, ""ZZZZZ"": -0.893542434010881}, {""IIZII"": 0.4054227104177348, ""ZZIZI"": 0.877406436673369, ""IIIZZ"": 0.7603720515327128, ""ZZZZZ"": 0.6352827476196286, ""IIZIZ"": 0.373244578382522, ""ZIZZZ"": -0.34992699158479645, ""IIIIZ"": -0.1845299525871717, ""ZIZZI"": 0.9102650648553187, ""IIZZZ"": 0.9401517822169061, ""ZZZZI"": 0.5978752509341814, ""ZZIIZ"": -0.6777142948096992, ""ZZIII"": -1.0, ""IZIII"": 0.45549411271567264, ""ZIIII"": -1.0}, {""IIIIZ"": 0.5059976526351618, ""IZIZI"": -0.8231063450980876, ""IIZZZ"": 0.9815719784848249, ""ZIIZZ"": 0.017276049477473403, ""IZZII"": -0.04934203494931184, ""IIZII"": -0.209758733999603, ""ZIZII"": -0.11361696361343233, ""ZIIZI"": 0.7646845178773688, ""IIIZZ"": 0.8717100782104467, ""ZIZZZ"": 0.7111690779128516, ""ZZIZZ"": 0.8980312011922468, ""ZZIZI"": 0.8718127186479011, ""IZZZZ"": 0.08410077310792548, ""ZZZZZ"": -0.2213215719415562}, {""IIZIZ"": -0.7669076299116651, ""IIIZI"": 0.49812629620446874, ""IZZZZ"": -0.9133695049507857, ""ZIIZI"": -0.3006531590020519, ""IZIII"": 0.9045035975633248, ""ZZIZZ"": -0.1996813050889117, ""IZIZZ"": -0.9677473121773418, ""IIZII"": -0.2990381317370909, ""ZIIII"": -0.2557136320375126, ""ZZZII"": 0.3923661687769193, ""IZIZI"": 0.4532124329419679, ""IIZZI"": -0.5375683200512401, ""ZIZIZ"": 0.12984017308773646, ""ZZZZZ"": -0.8399141084029689, ""IIIZZ"": 0.46430655209354155, ""IZZII"": -0.9925521389589973}, {""IZZII"": -0.1400173068191014, ""IZIZZ"": 0.23163757946833727, ""ZIZZZ"": -0.26201947188159247, ""IZZZZ"": -0.4699471271238872, ""ZZIIZ"": 0.12772098751423408, ""IZZIZ"": 0.03590664107367891, ""IZIIZ"": -0.7661315806811035, ""IIZIZ"": 0.09989895660284343, ""IIZZI"": -0.7551107499059814, ""ZIIZI"": 0.3979262819164056, ""IIZII"": -0.959570921839934, ""ZIIII"": 1.0, ""IIIZZ"": 0.74576663192455, ""IZIII"": 0.9307061451893484, ""ZIIZZ"": -0.8085184307401662}]"
wstate_indep_qiskit_5.qasm,f2,"[0, 0, 0, 0, 0]","[0.5935377430224063, 0.4629976332026873, 0.6940756409529922, 0.9544169596752867, 0.6060595476923418]","[{""ZIIIZ"": -0.6151005974642678, ""IIIIZ"": -0.17669945564019185, ""ZZIZI"": -0.7717619917935655, ""ZIIZZ"": -0.42276332684835605, ""ZZZIZ"": 1.0, ""IIZZI"": -0.24620079360153224, ""IIZZZ"": 0.25221441340170153, ""ZZZZZ"": 0.9979354806081243, ""ZIIII"": -0.9373470599974733, ""ZZZZI"": 0.056773493081541296, ""ZZZII"": -0.4936429100421432, ""IIIZI"": 0.45092107005594884, ""IZZIZ"": -0.30279735123937945, ""IZIII"": -0.21269181647323193}, {""IIZIZ"": -0.5040590943812716, ""IZZIZ"": -0.6491635097733119, ""IIIZI"": 1.0, ""ZIZZI"": -0.8229330747965513, ""ZIIZI"": -0.10668289153640481, ""ZZIII"": 0.17371344163431954, ""IZIZI"": 1.0, ""IZIII"": 0.9650693432134952, ""IZZZI"": -0.9629173947064911, ""ZZIZI"": 1.0, ""ZIZII"": 0.015013258598891344, ""ZZZZZ"": -0.49388771869414644, ""ZIIII"": -0.5370758987798291}, {""ZZZZI"": 0.7761741466301276, ""ZIZZI"": 0.438956477907689, ""IIZII"": 0.7885102201822836, ""IZIII"": -0.12769813310441572, ""ZZIZZ"": 0.6528816706124327, ""ZZIIZ"": 0.12052109076404749, ""IZIIZ"": 0.31765243700690055, ""IZZZI"": 0.7739768670909364, ""ZIZIZ"": 0.6232781774079523, ""ZZZZZ"": 0.3703752795301968, ""ZIZZZ"": 0.9546729534441232, ""IZIZZ"": 0.6804660495788083}, {""IZZII"": -0.4367257081222013, ""ZIZZZ"": -0.9374358343978889, ""IZZZZ"": -0.8789378180171831, ""ZIIIZ"": 0.189944704520006, ""ZZIII"": -0.1479994816080083, ""ZIIZZ"": -0.9089110226831468, ""IIZII"": -0.6014865053682348, ""ZZIIZ"": -0.3126050827505239, ""IZIII"": 0.5679855968566169, ""IZZZI"": -0.8034041486460184, ""ZIIII"": 0.6236652659900356, ""ZIZII"": 0.31641727145514825, ""IZIIZ"": 0.9525641943584809, ""IIZZZ"": 0.12203134927694277}, {""IZIZI"": 0.5396903224803288, ""IIZIZ"": -0.7296722088307858, ""IIIIZ"": -0.30240409487808645, ""ZIZIZ"": 0.7401743665358879, ""ZZZZZ"": -0.7718094052577705, ""IZIII"": 0.069975046631722, ""ZIZZZ"": -0.41425464337002693, ""ZZIZI"": -0.5152739608471198, ""IIZZZ"": -0.854766923201789, ""ZZIZZ"": 0.7069866617768343, ""IIZII"": -0.06700046478444799, ""IZIIZ"": 0.6422624610368618, ""IZZZI"": -0.5880185518288439}]"
wstate_indep_qiskit_5.qasm,f1,"[0, 0, 0, 0, 0]","[0.9931790017083376, 0.9011247285935636, 0.797336179509995, 0.6271631123457063, 0.6594162227254765]","[{""ZIZZI"": -0.07918710158838738, ""IZZII"": -0.4212612363531988, ""IIIZZ"": -0.6489177113286767, ""ZIIZI"": 0.03544497801554127, ""ZZZII"": 0.9165024647077076, ""IIZIZ"": -0.9618227223919826, ""IZIIZ"": -0.43736221125015884, ""ZZIII"": -0.1511720413165983, ""IIZZI"": -0.8074211751493107, ""IIIIZ"": -0.9804824046475304, ""IZZZI"": -0.8156688735440074, ""IZZZZ"": -0.40942407768599676, ""ZIIII"": 0.6232790540514358}, {""IIIIZ"": -0.8048317359550156, ""ZZZZZ"": 0.8538062865080152, ""ZZIZZ"": -0.5861393407182262, ""ZIIIZ"": -0.8410920405398031, ""ZIZZZ"": 0.395570520591091, ""ZZIZI"": -1.0, ""ZZZIZ"": -0.2396230555527561, ""IZZIZ"": -0.4530463991634705, ""IIZZZ"": 1.0, ""IIZZI"": 0.7598296491363932, ""IIIZI"": 0.49616348749436434, ""IZIIZ"": 0.27201041566738215}, {""IIIIZ"": -0.19338800240414575, ""ZZIIZ"": -0.40286867900898293, ""IIZIZ"": -1.0, ""ZZZIZ"": -0.978329106664755, ""IIZZI"": -0.8125481885157965, ""IZIII"": 0.15376053740767787, ""ZZIII"": 0.7359420177402072, ""IZZIZ"": -0.6938405782209961, ""IIZII"": -0.7630390439106087, ""ZZIZI"": 0.6217700033634205, ""ZZZZZ"": -0.550045644716226, ""IZIZI"": -0.29837857604250084, ""IZZII"": -0.636256667143209, ""ZIIII"": 0.5969683575292339}, {""ZIIZI"": -0.7166179338968797, ""ZZZZZ"": 0.24292850182617282, ""IZZII"": -0.9724878345091834, ""IIZII"": 0.8781344651895333, ""IIZZZ"": 0.585475093247286, ""ZZIIZ"": 0.7391749376692663, ""IIZZI"": -0.4447537389187675, ""IIZIZ"": 0.16341860903381517, ""ZIZZI"": -0.9934712548180901, ""ZIZZZ"": 0.4450703675065373, ""ZIZII"": -0.5857475161273271, ""ZIIII"": -0.5716215334464647, ""IIIZI"": -0.02227892652768268}, {""IZIIZ"": 0.06264292405563288, ""IZIZZ"": 0.8383236448391266, ""ZIZIZ"": 0.29768807248925955, ""ZZIZZ"": 0.9572644777333996, ""ZZIIZ"": -0.08546721468817464, ""IIIIZ"": 0.6554835131001121, ""IIZII"": 0.8456367750960758, ""IZIII"": -0.8459132088303728, ""IZZIZ"": 0.1407608524113593, ""ZIIII"": -1.0, ""IIZIZ"": 0.6870677247230746}]"
wstate_indep_qiskit_5.qasm,eq,"[0, 0, 0, 0, 0]","[0.39973003462469026, 0.603124373501541, 0.5689677742303325, 0.3796305281825496, 0.4702621989999095]","[{""IZZZZ"": 0.6249197419800512, ""IZIII"": 0.6190413555881372, ""ZZZIZ"": 0.0347786160050445, ""ZZIII"": 0.4816598888344443, ""ZIZIZ"": 0.0730747520352045, ""IIIZI"": 0.1495649746384653, ""IIZZZ"": -0.34987026262272003, ""ZIZII"": -0.8553687080628259, ""IZZZI"": -0.2687572677529298, ""IZZII"": -0.897335578831843, ""IZIZI"": 0.8484501116366456}, {""ZIIII"": 0.5711229089992121, ""IIZZI"": -0.8584971700814701, ""IZZZZ"": -0.4575762333570034, ""ZZZIZ"": -0.43249125733379606, ""IZIZI"": 0.9341107605015861, ""IZZZI"": -0.057858672702999984, ""ZZIII"": 0.8692821235374362, ""ZZZZZ"": -1.0, ""ZZIZI"": -0.5768940024124911, ""ZZZZI"": 0.6703622527987652, ""ZIZII"": 0.16014365801894623}, {""IIIZZ"": -0.022337597682466313, ""IZIZI"": -0.1539755499045767, ""ZZIZZ"": 0.12187551450261136, ""IZIIZ"": 0.9482813058309655, ""IZIZZ"": -0.13208348170049616, ""IIZIZ"": -0.9945079090986196, ""ZIZII"": -0.2345940386715738, ""IZZZZ"": -0.9500899750095532, ""ZIIII"": -0.6182941018505995, ""ZZZZZ"": -0.625364185237915, ""IIZII"": -1.0, ""ZZZZI"": 0.600633599281192, ""ZIIZI"": 0.5339797072512681}, {""ZZZZI"": 0.8168512127277899, ""IZIIZ"": -0.060421364967489385, ""IZIZI"": 0.99295188771172, ""ZIZII"": 0.8225726412933045, ""IZZII"": -0.644460582200403, ""ZIIIZ"": -0.701819617295735, ""IZIII"": -0.8827959465554823, ""ZZIZZ"": -0.6201602772080852, ""IIIZZ"": -0.8904097189137956, ""ZZIZI"": 0.7307016761515388, ""ZIIZZ"": 0.16389785171183685, ""IZZZZ"": 0.6237422041073767, ""IIIIZ"": 0.09804063613421227, ""ZZZIZ"": 0.9739962631243853}, {""IIZZI"": -0.3915092728247368, ""ZIZII"": -0.08917608639653611, ""IIIIZ"": -0.9346403168196491, ""IZIZI"": 0.18684323832705063, ""ZZIZZ"": -0.7387763176392119, ""ZIZIZ"": 0.5202548467902478, ""IIZZZ"": -0.3380725749335721, ""IIZII"": -0.3920449444839133, ""IZZIZ"": -0.7697616572737511, ""IZIII"": 0.8494363086158516, ""ZZIIZ"": 0.19061220060752523, ""ZIZZI"": 0.9093095525627116, ""ZZZZZ"": 0.2704770101220922}]"
twolocalrandom_indep_qiskit_5.qasm,f3,"[0, 0, 0, 0, 0]","[1.3844398266586382, 1.2150251543089297, 1.1842016842549254, 1.3972868520051578, 1.3824534783509783]","[{""IZIZI"": 0.5760347859371593, ""ZZZII"": -0.9315947728278665, ""IIIZZ"": 0.2779331116702542, ""ZZIZI"": -0.2785586280433408, ""ZIIZZ"": 0.12260460099521839, ""IIZZI"": -0.4989076156186261, ""ZIZZZ"": -0.9063936426421286, ""ZIZZI"": -0.11354475976756245, ""IZZIZ"": 0.8056867506744051, ""ZZIIZ"": 0.8533609375505702, ""IZZZZ"": 0.9523277430856976, ""ZIIZI"": -0.1488211398428927, ""IIZIZ"": -0.6199444302947024, ""ZIIIZ"": -0.9514314908387822}, {""IIZIZ"": 0.6255987830878463, ""IIIZI"": -0.23252294815514446, ""ZZZZZ"": 0.4096036116857497, ""ZZIIZ"": -0.8038798018672846, ""ZIZII"": -0.9590607791302248, ""IIZZI"": 0.6381382913579667, ""ZZZIZ"": 0.6983658591794153, ""IZIIZ"": 0.06312908627464484, ""IZIII"": 0.7000620371621263, ""IZZIZ"": -0.5286244591196266, ""ZZIZZ"": 0.8181547239498345, ""ZZIZI"": 0.2592070533890927, ""IZIZZ"": -0.757272467512192, ""ZIZZZ"": -0.27379210042641294}, {""IIIIZ"": 0.24835075605660978, ""IZZII"": -0.4277710537563298, ""ZZZII"": -0.9845108605252518, ""IIZZI"": -0.38354842588810023, ""IIIZI"": -0.8949713132524101, ""ZIZIZ"": 0.5825163355719304, ""ZIIZI"": -0.3126819663570027, ""IIIZZ"": 0.562889603867006, ""IZZZZ"": 0.038644648973378694, ""ZIZZI"": 0.059909038085176274, ""IIZIZ"": -0.26601961924369666, ""ZZZZZ"": 0.8981166996700921, ""ZZIZZ"": -0.8427767006038325}, {""ZZZZI"": 0.16218223148914834, ""IZZZI"": -0.6213521643783385, ""IIZZI"": 0.9001058048168298, ""IZZII"": 0.7774849113667635, ""ZZZIZ"": -0.5815639233339137, ""IIIZI"": 1.0, ""ZZIII"": -0.16676014404894324, ""IIZIZ"": 0.5279871921126913, ""ZZZII"": 0.6121632974134631, ""ZIZZZ"": 0.39378519896409175, ""ZIIIZ"": 1.0, ""ZIZII"": -0.7859748304151517, ""ZIZZI"": 0.49330312463083237}, {""ZZZZZ"": 0.6304800252902006, ""IIIIZ"": 0.9508843696811395, ""ZZIII"": 0.984586664191264, ""ZIIZZ"": 0.34631382286614565, ""ZIIIZ"": -1.0, ""ZZIZZ"": -0.705647293139044, ""ZZZIZ"": 0.26937716813256724, ""IZIIZ"": -0.20135980640679882, ""ZZZII"": 0.057991704425168544, ""IZIZI"": 0.6644722050303536, ""ZZZZI"": 0.7932028526130018, ""IZZIZ"": 0.8134337165182328, ""ZIZIZ"": 0.9239351209123983, ""ZZIIZ"": 0.8057133538610146}]"
twolocalrandom_indep_qiskit_5.qasm,f2,"[0, 0, 0, 0, 0]","[1.2487332047805846, 1.0094794714871154, 1.239481836440536, 1.2008423965840638, 0.8844062192968295]","[{""ZZIIZ"": -0.14427630490360205, ""ZIIIZ"": -0.9302519826202945, ""IIZZZ"": -0.7808126376078778, ""IIZIZ"": -0.7214668460687302, ""IIIIZ"": 0.279333470807299, ""ZZZZI"": -0.7488266614312202, ""ZIZZI"": 0.6914723515657772, ""IIIZI"": 0.3633506190520953, ""ZIIII"": -0.8230295943535842, ""IZZII"": -0.2743923248180011, ""IZZIZ"": 0.9182933668688578, ""ZZZII"": -0.30894327817158496, ""IZZZZ"": -0.5451110897573275, ""ZIZIZ"": 0.8590540653530807}, {""ZIIZI"": 0.30870444073835956, ""IZIZI"": -0.36259971456972484, ""ZZIIZ"": -0.7136553526642521, ""ZIZIZ"": 0.20338016681644125, ""ZIZZI"": -0.34485831449960513, ""ZZZZI"": 0.24021844174193224, ""ZIZII"": 0.8625234560057402, ""IZZIZ"": 0.38301431949615317, ""IIZZZ"": -0.11559387030981068, ""IIZZI"": -1.0, ""ZZZII"": -0.45257966718752807, ""ZZZIZ"": 0.5082376239427057, ""IZIZZ"": -0.8150726758175741, ""ZIIIZ"": -0.9754491705691454}, {""IZZII"": -0.1400431836439195, ""ZIIZZ"": -0.4312857928482352, ""ZIZZZ"": 0.7570551914755234, ""IIIZZ"": -0.3357035971193666, ""IZZIZ"": 0.9800170705450876, ""IIIIZ"": 1.0, ""IZZZI"": 0.7040965966980313, ""ZZIZZ"": -0.8437859462064529, ""IIZII"": 0.15193403721036522, ""IIZZZ"": -0.6444095556545582, ""IZIZZ"": -0.5808950743307537}, {""IIIZZ"": 0.1810568640849958, ""ZZIZI"": -0.6066936731621477, ""ZZIZZ"": 0.8682737743228633, ""ZIZIZ"": 0.04083600307050531, ""IZIZI"": 0.3634822888333533, ""IZIIZ"": -0.8619207867658208, ""ZIIZI"": -0.8847422077635564, ""IIZIZ"": -0.7403785310213172, ""IZZIZ"": 0.9931864799179968, ""IIIZI"": -0.47321629141070637, ""ZZZII"": -0.4888035075249206, ""IIZZI"": -0.3802630192686639, ""IZIII"": -0.41003439450632945, ""ZZZZI"": -0.7359970083441123}, {""IIZIZ"": -0.7443918164115826, ""ZIIIZ"": -0.957626313949591, ""IZIZI"": 0.3958989926862118, ""IIIZZ"": -0.450121071655104, ""IZZZZ"": 0.07601831095151644, ""ZIZII"": 0.12593174159946088, ""IZIZZ"": -0.34499411823573145, ""ZIIII"": -0.13416558535990866, ""IZZII"": -0.2088772049144067, ""IZIIZ"": -0.7201692160385204, ""IIZZI"": -0.18897747225028072, ""IIIZI"": 0.6507595028847649, ""ZIIZZ"": -0.002807463502342483, ""IIZII"": 0.9157663437450052, ""ZIIZI"": -0.2935044882021473}]"
twolocalrandom_indep_qiskit_5.qasm,f1,"[0, 0, 0, 0, 0]","[1.3253828174802376, 1.6474484589047982, 0.9966268368496503, 1.0954335545461458, 1.2863859922058059]","[{""IZZZZ"": 0.005717759609288129, ""ZIZIZ"": -0.6011185272477245, ""ZZIIZ"": 0.778002605893151, ""ZIZZI"": 0.5088077641538817, ""ZZZZI"": -0.9817283200504429, ""ZIIIZ"": 0.25332618732481627, ""IIZIZ"": 0.7395677244460761, ""ZZIZI"": -0.7032442932649497, ""ZZIZZ"": -0.8077027083642404, ""ZZZIZ"": 0.5694643825143991, ""ZIZII"": -1.0, ""ZZZII"": 1.0, ""IZIZZ"": 0.1498862440576752, ""ZZZZZ"": 1.0}, {""ZZZZI"": -0.15470286945393721, ""ZIZIZ"": 0.25001691678333043, ""ZIIIZ"": -0.7106577981633398, ""IZIIZ"": 0.4213226362362323, ""IZIII"": -0.9748698658935764, ""ZIIII"": -0.27167526190506847, ""IIIZI"": -0.8300583684980652, ""IIIZZ"": 0.48032458244494997, ""IZZIZ"": 0.6043814423350272, ""ZZIIZ"": 0.7472681898988526, ""IZIZI"": 0.9806742670695789, ""ZIZII"": 0.9805290465466182, ""ZZZII"": -0.6903862720085232}, {""ZIIZZ"": 0.4418214885977048, ""ZIZII"": -0.7659625474460481, ""IZZZI"": 0.17148355983219882, ""IZZZZ"": -0.5335789253254201, ""ZIIII"": -0.8094708990341722, ""IIIIZ"": -0.6916149854176469, ""IZZII"": 0.1523194841663828, ""IZZIZ"": 0.1601556033482864, ""IZIII"": -0.47403241347343017, ""ZZIIZ"": -0.8923512518373433, ""ZZIII"": 1.0, ""IIZIZ"": 0.4827139799431981, ""IIZZI"": -0.3929459673000027, ""ZZIZI"": 0.9539370715806325}, {""ZIZZZ"": 0.32971572074499395, ""IZIIZ"": 0.6106287705586482, ""ZIIZZ"": 0.17057886233965575, ""IZZIZ"": 0.5894379766876463, ""ZIIIZ"": 0.412727645180507, ""IZZII"": 0.8875893847897526, ""IIZIZ"": 0.9568806925270207, ""IIZZZ"": -0.10830266613389863, ""ZIZZI"": 0.5737984220511052, ""ZIZIZ"": -0.844915882832623, ""IIIZI"": 0.7300926939174952, ""ZZIZZ"": 0.03103563382271015, ""ZZZZI"": -0.31957885715617423, ""IIZZI"": 0.7702261016716002, ""ZZZII"": 0.3112471499733885}, {""IZIII"": 0.8012436690770798, ""IIZZI"": 0.4676037529026677, ""IIZZZ"": -0.1001778154990745, ""IZIZZ"": 0.41865284489205457, ""IZZZI"": 0.4768892705191296, ""ZIIIZ"": 0.9798773455071402, ""ZZZZZ"": 0.9065752880299671, ""IZZZZ"": -0.5737340606583022, ""ZIZZZ"": 0.539070428189445, ""ZIZZI"": 0.8080136947988924, ""ZIIZZ"": 0.7806815475873101, ""IIIZZ"": 0.3422099538372256, ""ZZIZI"": 0.8155847984158917, ""ZIZIZ"": -0.8712132950796327}]"
twolocalrandom_indep_qiskit_5.qasm,eq,"[0, 0, 0, 0, 0]","[0.915368447288353, 0.7635506177325841, 0.9602394756837928, 0.6907642725217644, 0.7216994024037071]","[{""ZZIIZ"": -0.6924867376622732, ""IZZZZ"": 0.8120857202666835, ""IIZZI"": 0.15913488552361718, ""ZZZII"": 0.5880492580681291, ""ZIIZI"": 0.8350536452809245, ""IZIII"": 0.5882355659680568, ""ZIIZZ"": -0.01774371962044259, ""ZIZZZ"": -0.4043219617103159, ""IIIZZ"": 0.13801674995173538, ""ZZZZZ"": 0.7599124290712775, ""IZZII"": 0.2690770894325408, ""ZZIII"": -0.9076552119367675, ""ZIZII"": -0.7998034552083956, ""ZIZZI"": -0.31365571862189245, ""ZIIII"": 0.9541100758191561}, {""IIZII"": 0.5730390520400369, ""ZIIZI"": 0.7051546219983132, ""ZZZII"": 0.5067141207767862, ""IZZZI"": -0.7437116791936249, ""IZIZI"": -0.40323601846246765, ""ZIIIZ"": 0.7891467045642105, ""ZZZZZ"": 0.9670295189764415, ""ZZIZZ"": 0.3114326852503604, ""ZIIII"": -0.8789137023528704, ""IIZZZ"": 0.8953725958874267, ""ZZIIZ"": -0.6412528469239466}, {""IIIZI"": -0.24979183700176957, ""ZZIIZ"": -0.23365179154403543, ""IZZIZ"": -0.7885030256022069, ""IIIIZ"": -0.33078630241877954, ""ZIZZI"": 0.2430567647820989, ""IIZZZ"": -0.3307089224971787, ""IIIZZ"": -0.5626921222612986, ""IZZZZ"": 0.7905612342461413, ""IZIZZ"": -0.2243105731463464, ""ZZIII"": 0.7518257224835503, ""ZIIII"": 0.8406027358167156, ""ZIIZI"": -0.022398851027884165, ""ZIZII"": -0.6232930614045684}, {""ZZIII"": -0.05660447191001138, ""IZZII"": -0.11107064122291727, ""IZZIZ"": 0.9064727243146387, ""IIIZI"": 0.06280594731149182, ""IIZIZ"": -0.5652824007924944, ""ZZIZZ"": 0.18032855202215012, ""ZIIIZ"": -0.07537828196458711, ""IIIZZ"": 0.046239113124446896, ""ZZZZZ"": -0.2701870803780662, ""ZIZII"": 0.5744337593401908, ""IZIZZ"": -0.09331104777897696, ""IZZZZ"": 0.3276834922353235, ""IZIII"": -0.6031993390143531}, {""ZIIIZ"": 0.8360715932796627, ""ZZIII"": -0.8764909082920246, ""ZIIZI"": -0.4574490702293353, ""ZZZZI"": 1.0, ""ZIZIZ"": 0.07685039977874852, ""ZIZZI"": -0.14200819092427647, ""ZZZII"": 0.3465211241203985, ""ZZZIZ"": -0.41399578298128764, ""IIZZI"": -0.05230403565171325, ""IIIIZ"": -0.022397978509156875, ""ZZIZI"": -0.5040152694183617, ""ZIZII"": 0.3687137340452791, ""ZZIZZ"": 0.268818604847408, ""IZZZI"": -0.5839250345561605}]"
su2random_indep_qiskit_5.qasm,f3,"[0, 0, 0, 0, 0]","[1.0085488844857515, 1.0721913799931042, 0.7821284046104584, 1.2521904651070426, 1.067398988826483]","[{""IZIII"": -0.7750423807542806, ""IZIZI"": 0.01721112698432753, ""ZZIZZ"": -0.260081057649714, ""ZZZZZ"": 0.9707850026372884, ""IZZIZ"": 0.18291543425164078, ""IIZZZ"": -0.982119714703376, ""ZIZIZ"": -0.21102014221681123, ""ZZZII"": 0.8828764693334226, ""IIZII"": -0.6985647811560807, ""IZIZZ"": -0.8413507937761622, ""ZZZIZ"": 0.7579625680890172, ""ZIZII"": -0.2630290647297626}, {""ZIZII"": -0.606463403241525, ""ZZZIZ"": 0.5647076828339264, ""IIZZI"": -0.5274217690713477, ""IIZIZ"": 0.7438548894108313, ""ZZZII"": 0.7632826957954941, ""IZIZZ"": -0.8530296017557204, ""IZZII"": 0.8220004720082656, ""IZZZI"": -0.9854680692739269, ""ZZIIZ"": -0.6277096080807096, ""IIIZZ"": 1.0, ""ZIZZI"": -0.0458369105947803, ""IZIII"": -0.2527629368019779, ""ZIIIZ"": -0.48327152382647176}, {""ZZZIZ"": -0.9226834723147981, ""ZIZZZ"": 0.21358860989179407, ""ZIIIZ"": -0.9627222148459207, ""IIIIZ"": 0.5402820506960667, ""ZZZZI"": 0.8830212910329477, ""ZZZII"": 0.1717141407631692, ""ZIZZI"": -0.6969565960566112, ""IIZZZ"": -0.629921128228455, ""IZZIZ"": 0.4320058569256065, ""IIIZZ"": -0.6001949017795947, ""ZZZZZ"": -0.4455682238927572}, {""ZIZZZ"": 0.6798836168344807, ""IZZZZ"": -0.7119741184159118, ""ZZIZI"": -0.07486645507750489, ""IZIZI"": -0.4899807543190787, ""IZZIZ"": -0.3067629264612482, ""ZIIZZ"": -0.39511751980972587, ""IIIIZ"": 1.0, ""ZZZZZ"": -0.996548699702293, ""ZZIZZ"": -0.6028974296938892, ""ZZIIZ"": 0.10905102176259159, ""ZIIII"": -0.6027586034795153, ""ZIZII"": -0.9744056228516683, ""IIZII"": 1.0, ""ZIZIZ"": 0.5127346008241478}, {""IIZZI"": 0.7561950968836507, ""ZZZZI"": -0.6548309686607551, ""IZIIZ"": 0.259248065469028, ""IZZIZ"": -0.05242385708107146, ""IIIZZ"": 0.7469842240162781, ""IIZIZ"": 0.9132037680269582, ""ZIIZI"": -0.9729978931798202, ""IIIZI"": 0.9127415313360985, ""ZZZZZ"": 0.9369443908904048, ""ZZZIZ"": 0.7161796455231326, ""ZZZII"": 0.017025142173943263, ""ZIIIZ"": -0.40263007164012965}]"
su2random_indep_qiskit_5.qasm,f2,"[0, 0, 0, 0, 0]","[1.3167718597380675, 1.2651126890053337, 0.9219952079810381, 1.1819207849450388, 1.20482688115629]","[{""IIIIZ"": 0.640131015293416, ""IIIZI"": 0.7720440196336118, ""IIZIZ"": 0.9367258333406214, ""ZIIZZ"": 0.939693578807151, ""ZZZZZ"": 0.6401913078546544, ""IIIZZ"": 0.741483646305576, ""ZZIZZ"": -0.855205410656287, ""IZIZI"": 0.28180137636400215, ""IZIZZ"": -0.9444166381329814, ""ZIIZI"": 0.8789932993521474, ""ZIZZI"": -0.8219530063336034, ""IIZZZ"": -0.2681333589816064, ""IZZIZ"": 0.15483297347330466, ""IZZZI"": -0.5139101827979705, ""IZIII"": -0.8246455506939713}, {""IZZZZ"": 0.4421199972225063, ""IZIZI"": -0.11200263696810156, ""IZZZI"": 0.9936157400469379, ""ZIIZZ"": -1.0, ""ZIZZZ"": 0.54226916394622, ""ZZIIZ"": 0.344613337579043, ""ZZZZZ"": -0.8573100273824514, ""IIZIZ"": -0.779043769393968, ""ZZIII"": 0.15112368363952072, ""ZIZZI"": -0.5144930554181295, ""ZIZII"": -0.6834993051902633, ""ZIIII"": 0.6098292013487943, ""ZZZII"": 0.14986074334171057, ""IZIII"": 0.7339239525951222}, {""ZIZIZ"": 0.22258512761514554, ""ZIIZI"": 1.0, ""ZIIII"": -0.10042951269458261, ""ZZZZZ"": -0.5200544987422347, ""ZZIIZ"": 0.031342879910623594, ""IZZZI"": 0.7458268109646535, ""IZZZZ"": 0.2685376728975728, ""IZZIZ"": 0.8687751854499075, ""IZIZZ"": 0.565435512595863, ""ZZIII"": -0.7288090590111788, ""IIZII"": -0.03937571167353525, ""IIZZZ"": -0.661855833138425}, {""ZZZIZ"": -0.33255344312579155, ""ZIZIZ"": -0.1391316147467457, ""IZZII"": 0.8974114132607685, ""IIZZZ"": -0.23002159911105008, ""IZZZI"": 1.0, ""ZZZII"": 0.2603558775849228, ""IZZZZ"": -0.3574524314557078, ""IIIIZ"": 0.6321995887629015, ""ZZZZZ"": -0.9268405099318818, ""ZIZZZ"": 0.26048915440094816, ""IIZII"": 0.8952807544196896, ""IZIZZ"": 0.9075954012341297, ""ZIIII"": -0.7740659391130029}, {""IIZII"": 0.727567704509677, ""IZIZZ"": 0.7870121420792523, ""ZIIIZ"": -0.9838422750649063, ""ZZIZZ"": -0.466911177304571, ""ZIZII"": -0.1376903426123559, ""IZIII"": 0.6957744616609498, ""ZIIZZ"": 0.27087637951168486, ""IIIZI"": 0.10102165257741777, ""ZIZIZ"": 0.7521656217614476, ""IZIZI"": -0.7860018199360418, ""ZZIIZ"": 0.8801238963534838, ""IZZZI"": 0.7804997738193473, ""ZIIZI"": 0.9710300961721339}]"
