Program,threshold,accuracy,precision,recall,false_positives,false_negatives,true_positives,true_negatives,n_samples
ae,0.1,1.0,1.0,1.0,0,0,18,0,18
ae,0.28,0.94,1.0,0.94,0,1,17,0,18
ae,0.47,0.83,1.0,0.83,0,3,15,0,18
ae,0.65,0.83,1.0,0.83,0,3,15,0,18
ae,0.84,0.83,1.0,0.83,0,3,15,0,18
ae,1.02,0.72,1.0,0.72,0,5,13,0,18
ae,1.21,0.56,1.0,0.56,0,8,10,0,18
ae,1.39,0.5,1.0,0.5,0,9,9,0,18
ae,1.57,0.39,1.0,0.39,0,11,7,0,18
ae,1.76,0.11,1.0,0.11,0,16,2,0,18
ae,1.94,0.11,1.0,0.11,0,16,2,0,18
ae,2.13,0.06,1.0,0.06,0,17,1,0,18
ae,2.31,0.0,,0.0,0,18,0,0,18
ae,2.5,0.0,,0.0,0,18,0,0,18
ae,2.68,0.0,,0.0,0,18,0,0,18
ae,2.86,0.0,,0.0,0,18,0,0,18
ae,3.05,0.0,,0.0,0,18,0,0,18
ae,3.23,0.0,,0.0,0,18,0,0,18
ae,3.42,0.0,,0.0,0,18,0,0,18
ae,3.6,0.0,,0.0,0,18,0,0,18
ae,3.79,0.0,,0.0,0,18,0,0,18
ae,3.97,0.0,,0.0,0,18,0,0,18
ae,4.15,0.0,,0.0,0,18,0,0,18
ae,4.34,0.0,,0.0,0,18,0,0,18
ae,4.52,0.0,,0.0,0,18,0,0,18
ae,4.71,0.0,,0.0,0,18,0,0,18
ae,4.89,0.0,,0.0,0,18,0,0,18
ae,5.08,0.0,,0.0,0,18,0,0,18
ae,5.26,0.0,,0.0,0,18,0,0,18
ae,5.44,0.0,,0.0,0,18,0,0,18
dj,0.1,1.0,1.0,1.0,0,0,18,0,18
dj,0.28,1.0,1.0,1.0,0,0,18,0,18
dj,0.47,0.89,1.0,0.89,0,2,16,0,18
dj,0.65,0.83,1.0,0.83,0,3,15,0,18
dj,0.84,0.83,1.0,0.83,0,3,15,0,18
dj,1.02,0.83,1.0,0.83,0,3,15,0,18
dj,1.21,0.83,1.0,0.83,0,3,15,0,18
dj,1.39,0.83,1.0,0.83,0,3,15,0,18
dj,1.57,0.83,1.0,0.83,0,3,15,0,18
dj,1.76,0.78,1.0,0.78,0,4,14,0,18
dj,1.94,0.78,1.0,0.78,0,4,14,0,18
dj,2.13,0.72,1.0,0.72,0,5,13,0,18
dj,2.31,0.61,1.0,0.61,0,7,11,0,18
dj,2.5,0.5,1.0,0.5,0,9,9,0,18
dj,2.68,0.5,1.0,0.5,0,9,9,0,18
dj,2.86,0.44,1.0,0.44,0,10,8,0,18
dj,3.05,0.39,1.0,0.39,0,11,7,0,18
dj,3.23,0.33,1.0,0.33,0,12,6,0,18
dj,3.42,0.11,1.0,0.11,0,16,2,0,18
dj,3.6,0.11,1.0,0.11,0,16,2,0,18
dj,3.79,0.0,,0.0,0,18,0,0,18
dj,3.97,0.0,,0.0,0,18,0,0,18
dj,4.15,0.0,,0.0,0,18,0,0,18
dj,4.34,0.0,,0.0,0,18,0,0,18
dj,4.52,0.0,,0.0,0,18,0,0,18
dj,4.71,0.0,,0.0,0,18,0,0,18
dj,4.89,0.0,,0.0,0,18,0,0,18
dj,5.08,0.0,,0.0,0,18,0,0,18
dj,5.26,0.0,,0.0,0,18,0,0,18
dj,5.44,0.0,,0.0,0,18,0,0,18
ghz,0.1,1.0,1.0,1.0,0,0,18,0,18
ghz,0.28,1.0,1.0,1.0,0,0,18,0,18
ghz,0.47,0.83,1.0,0.83,0,3,15,0,18
ghz,0.65,0.83,1.0,0.83,0,3,15,0,18
ghz,0.84,0.83,1.0,0.83,0,3,15,0,18
ghz,1.02,0.72,1.0,0.72,0,5,13,0,18
ghz,1.21,0.56,1.0,0.56,0,8,10,0,18
ghz,1.39,0.56,1.0,0.56,0,8,10,0,18
ghz,1.57,0.5,1.0,0.5,0,9,9,0,18
ghz,1.76,0.5,1.0,0.5,0,9,9,0,18
ghz,1.94,0.33,1.0,0.33,0,12,6,0,18
ghz,2.13,0.28,1.0,0.28,0,13,5,0,18
ghz,2.31,0.17,1.0,0.17,0,15,3,0,18
ghz,2.5,0.06,1.0,0.06,0,17,1,0,18
ghz,2.68,0.06,1.0,0.06,0,17,1,0,18
ghz,2.86,0.0,,0.0,0,18,0,0,18
ghz,3.05,0.0,,0.0,0,18,0,0,18
ghz,3.23,0.0,,0.0,0,18,0,0,18
ghz,3.42,0.0,,0.0,0,18,0,0,18
ghz,3.6,0.0,,0.0,0,18,0,0,18
ghz,3.79,0.0,,0.0,0,18,0,0,18
ghz,3.97,0.0,,0.0,0,18,0,0,18
ghz,4.15,0.0,,0.0,0,18,0,0,18
ghz,4.34,0.0,,0.0,0,18,0,0,18
ghz,4.52,0.0,,0.0,0,18,0,0,18
ghz,4.71,0.0,,0.0,0,18,0,0,18
ghz,4.89,0.0,,0.0,0,18,0,0,18
ghz,5.08,0.0,,0.0,0,18,0,0,18
ghz,5.26,0.0,,0.0,0,18,0,0,18
ghz,5.44,0.0,,0.0,0,18,0,0,18
graphstate,0.1,1.0,1.0,1.0,0,0,18,0,18
graphstate,0.28,0.83,1.0,0.83,0,3,15,0,18
graphstate,0.47,0.67,1.0,0.67,0,6,12,0,18
graphstate,0.65,0.0,,0.0,0,18,0,0,18
graphstate,0.84,0.0,,0.0,0,18,0,0,18
graphstate,1.02,0.0,,0.0,0,18,0,0,18
graphstate,1.21,0.0,,0.0,0,18,0,0,18
graphstate,1.39,0.0,,0.0,0,18,0,0,18
graphstate,1.57,0.0,,0.0,0,18,0,0,18
graphstate,1.76,0.0,,0.0,0,18,0,0,18
graphstate,1.94,0.0,,0.0,0,18,0,0,18
graphstate,2.13,0.0,,0.0,0,18,0,0,18
graphstate,2.31,0.0,,0.0,0,18,0,0,18
graphstate,2.5,0.0,,0.0,0,18,0,0,18
graphstate,2.68,0.0,,0.0,0,18,0,0,18
graphstate,2.86,0.0,,0.0,0,18,0,0,18
graphstate,3.05,0.0,,0.0,0,18,0,0,18
graphstate,3.23,0.0,,0.0,0,18,0,0,18
graphstate,3.42,0.0,,0.0,0,18,0,0,18
graphstate,3.6,0.0,,0.0,0,18,0,0,18
graphstate,3.79,0.0,,0.0,0,18,0,0,18
graphstate,3.97,0.0,,0.0,0,18,0,0,18
graphstate,4.15,0.0,,0.0,0,18,0,0,18
graphstate,4.34,0.0,,0.0,0,18,0,0,18
graphstate,4.52,0.0,,0.0,0,18,0,0,18
graphstate,4.71,0.0,,0.0,0,18,0,0,18
graphstate,4.89,0.0,,0.0,0,18,0,0,18
graphstate,5.08,0.0,,0.0,0,18,0,0,18
graphstate,5.26,0.0,,0.0,0,18,0,0,18
graphstate,5.44,0.0,,0.0,0,18,0,0,18
qnn,0.1,1.0,1.0,1.0,0,0,18,0,18
qnn,0.28,1.0,1.0,1.0,0,0,18,0,18
qnn,0.47,0.83,1.0,0.83,0,3,15,0,18
qnn,0.65,0.56,1.0,0.56,0,8,10,0,18
qnn,0.84,0.33,1.0,0.33,0,12,6,0,18
qnn,1.02,0.33,1.0,0.33,0,12,6,0,18
qnn,1.21,0.17,1.0,0.17,0,15,3,0,18
qnn,1.39,0.06,1.0,0.06,0,17,1,0,18
qnn,1.57,0.0,,0.0,0,18,0,0,18
qnn,1.76,0.0,,0.0,0,18,0,0,18
qnn,1.94,0.0,,0.0,0,18,0,0,18
qnn,2.13,0.0,,0.0,0,18,0,0,18
qnn,2.31,0.0,,0.0,0,18,0,0,18
qnn,2.5,0.0,,0.0,0,18,0,0,18
qnn,2.68,0.0,,0.0,0,18,0,0,18
qnn,2.86,0.0,,0.0,0,18,0,0,18
qnn,3.05,0.0,,0.0,0,18,0,0,18
qnn,3.23,0.0,,0.0,0,18,0,0,18
qnn,3.42,0.0,,0.0,0,18,0,0,18
qnn,3.6,0.0,,0.0,0,18,0,0,18
qnn,3.79,0.0,,0.0,0,18,0,0,18
qnn,3.97,0.0,,0.0,0,18,0,0,18
qnn,4.15,0.0,,0.0,0,18,0,0,18
qnn,4.34,0.0,,0.0,0,18,0,0,18
qnn,4.52,0.0,,0.0,0,18,0,0,18
qnn,4.71,0.0,,0.0,0,18,0,0,18
qnn,4.89,0.0,,0.0,0,18,0,0,18
qnn,5.08,0.0,,0.0,0,18,0,0,18
qnn,5.26,0.0,,0.0,0,18,0,0,18
qnn,5.44,0.0,,0.0,0,18,0,0,18
random,0.1,1.0,1.0,1.0,0,0,18,0,18
random,0.28,1.0,1.0,1.0,0,0,18,0,18
random,0.47,1.0,1.0,1.0,0,0,18,0,18
random,0.65,0.5,1.0,0.5,0,9,9,0,18
random,0.84,0.5,1.0,0.5,0,9,9,0,18
random,1.02,0.5,1.0,0.5,0,9,9,0,18
random,1.21,0.5,1.0,0.5,0,9,9,0,18
random,1.39,0.5,1.0,0.5,0,9,9,0,18
random,1.57,0.33,1.0,0.33,0,12,6,0,18
random,1.76,0.22,1.0,0.22,0,14,4,0,18
random,1.94,0.06,1.0,0.06,0,17,1,0,18
random,2.13,0.0,,0.0,0,18,0,0,18
random,2.31,0.0,,0.0,0,18,0,0,18
random,2.5,0.0,,0.0,0,18,0,0,18
random,2.68,0.0,,0.0,0,18,0,0,18
random,2.86,0.0,,0.0,0,18,0,0,18
random,3.05,0.0,,0.0,0,18,0,0,18
random,3.23,0.0,,0.0,0,18,0,0,18
random,3.42,0.0,,0.0,0,18,0,0,18
random,3.6,0.0,,0.0,0,18,0,0,18
random,3.79,0.0,,0.0,0,18,0,0,18
random,3.97,0.0,,0.0,0,18,0,0,18
random,4.15,0.0,,0.0,0,18,0,0,18
random,4.34,0.0,,0.0,0,18,0,0,18
random,4.52,0.0,,0.0,0,18,0,0,18
random,4.71,0.0,,0.0,0,18,0,0,18
random,4.89,0.0,,0.0,0,18,0,0,18
random,5.08,0.0,,0.0,0,18,0,0,18
random,5.26,0.0,,0.0,0,18,0,0,18
random,5.44,0.0,,0.0,0,18,0,0,18
realamprandom,0.1,1.0,1.0,1.0,0,0,18,0,18
realamprandom,0.28,1.0,1.0,1.0,0,0,18,0,18
realamprandom,0.47,0.67,1.0,0.67,0,6,12,0,18
realamprandom,0.65,0.61,1.0,0.61,0,7,11,0,18
realamprandom,0.84,0.22,1.0,0.22,0,14,4,0,18
realamprandom,1.02,0.11,1.0,0.11,0,16,2,0,18
realamprandom,1.21,0.0,,0.0,0,18,0,0,18
