threshold,accuracy,false_positives,false_negatives,true_positives,true_negatives
0.1,1.0,0,0,173,0
0.28,0.96,0,7,166,0
0.47,0.82,0,32,141,0
0.65,0.62,0,66,107,0
0.84,0.5,0,87,86,0
1.02,0.43,0,99,74,0
1.21,0.32,0,117,56,0
1.39,0.26,0,128,45,0
1.57,0.21,0,136,37,0
1.76,0.17,0,144,29,0
1.94,0.13,0,150,23,0
2.13,0.11,0,154,19,0
2.31,0.08,0,159,14,0
2.5,0.06,0,163,10,0
2.68,0.06,0,163,10,0
2.86,0.05,0,165,8,0
3.05,0.04,0,166,7,0
3.23,0.03,0,167,6,0
3.42,0.01,0,171,2,0
3.6,0.01,0,171,2,0
3.79,0.0,0,173,0,0
3.97,0.0,0,173,0,0
4.15,0.0,0,173,0,0
4.34,0.0,0,173,0,0
4.52,0.0,0,173,0,0
4.71,0.0,0,173,0,0
4.89,0.0,0,173,0,0
5.08,0.0,0,173,0,0
5.26,0.0,0,173,0,0
5.44,0.0,0,173,0,0
