threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.1,0.75,0.75,1.0,0.0,0.5,0.64,58,0,173,0
0.28,0.73,0.75,0.96,0.05,0.51,0.65,55,7,166,3
0.47,0.68,0.78,0.8,0.33,0.57,0.68,39,34,139,19
0.65,0.59,0.8,0.61,0.53,0.57,0.62,27,67,106,31
0.84,0.53,0.82,0.49,0.67,0.58,0.56,19,89,84,39
1.02,0.5,0.82,0.43,0.72,0.58,0.53,16,99,74,42
1.21,0.45,0.81,0.35,0.76,0.55,0.47,14,113,60,44
1.39,0.42,0.84,0.27,0.84,0.56,0.41,9,126,47,49
1.57,0.39,0.86,0.21,0.9,0.56,0.36,6,136,37,52
1.76,0.37,0.91,0.18,0.95,0.56,0.33,3,142,31,55
1.94,0.34,0.89,0.14,0.95,0.54,0.29,3,149,24,55
2.13,0.32,0.9,0.11,0.97,0.54,0.25,2,154,19,56
2.31,0.31,1.0,0.08,1.0,0.54,0.22,0,159,14,58
2.5,0.29,1.0,0.06,1.0,0.53,0.19,0,163,10,58
2.68,0.29,1.0,0.05,1.0,0.52,0.17,0,165,8,58
2.86,0.28,1.0,0.04,1.0,0.52,0.16,0,166,7,58
3.05,0.28,1.0,0.04,1.0,0.52,0.16,0,166,7,58
3.23,0.27,1.0,0.02,1.0,0.51,0.14,0,169,4,58
3.42,0.26,1.0,0.01,1.0,0.5,0.11,0,172,1,58
3.6,0.26,1.0,0.01,1.0,0.5,0.11,0,172,1,58
3.79,0.26,1.0,0.01,1.0,0.5,0.11,0,172,1,58
3.97,0.26,1.0,0.01,1.0,0.5,0.11,0,172,1,58
4.15,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
4.34,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
4.52,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
4.71,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
4.89,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
5.08,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
5.26,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
5.44,0.25,,0.0,1.0,0.5,0.1,0,173,0,58
