Program,threshold,accuracy,precision,recall,false_positives,false_negatives,true_positives,true_negatives,n_samples
ae,0.1,0.75,0.75,1.0,6,0,18,0,24
ae,0.28,0.71,0.74,0.94,6,1,17,0,24
ae,0.47,0.67,0.75,0.83,5,3,15,1,24
ae,0.65,0.67,0.75,0.83,5,3,15,1,24
ae,0.84,0.75,0.83,0.83,3,3,15,3,24
ae,1.02,0.67,0.81,0.72,3,5,13,3,24
ae,1.21,0.62,0.8,0.67,3,6,12,3,24
ae,1.39,0.58,0.83,0.56,2,8,10,4,24
ae,1.57,0.46,0.86,0.33,1,12,6,5,24
ae,1.76,0.42,1.0,0.22,0,14,4,6,24
ae,1.94,0.38,1.0,0.17,0,15,3,6,24
ae,2.13,0.33,1.0,0.11,0,16,2,6,24
ae,2.31,0.25,,0.0,0,18,0,6,24
ae,2.5,0.25,,0.0,0,18,0,6,24
ae,2.68,0.25,,0.0,0,18,0,6,24
ae,2.86,0.25,,0.0,0,18,0,6,24
ae,3.05,0.25,,0.0,0,18,0,6,24
ae,3.23,0.25,,0.0,0,18,0,6,24
ae,3.42,0.25,,0.0,0,18,0,6,24
ae,3.6,0.25,,0.0,0,18,0,6,24
ae,3.79,0.25,,0.0,0,18,0,6,24
ae,3.97,0.25,,0.0,0,18,0,6,24
ae,4.15,0.25,,0.0,0,18,0,6,24
ae,4.34,0.25,,0.0,0,18,0,6,24
ae,4.52,0.25,,0.0,0,18,0,6,24
ae,4.71,0.25,,0.0,0,18,0,6,24
ae,4.89,0.25,,0.0,0,18,0,6,24
ae,5.08,0.25,,0.0,0,18,0,6,24
ae,5.26,0.25,,0.0,0,18,0,6,24
ae,5.44,0.25,,0.0,0,18,0,6,24
dj,0.1,0.75,0.75,1.0,6,0,18,0,24
dj,0.28,0.75,0.75,1.0,6,0,18,0,24
dj,0.47,0.71,0.76,0.89,5,2,16,1,24
dj,0.65,0.67,0.75,0.83,5,3,15,1,24
dj,0.84,0.67,0.75,0.83,5,3,15,1,24
dj,1.02,0.67,0.75,0.83,5,3,15,1,24
dj,1.21,0.67,0.75,0.83,5,3,15,1,24
dj,1.39,0.71,0.79,0.83,4,3,15,2,24
dj,1.57,0.75,0.83,0.83,3,3,15,3,24
dj,1.76,0.79,0.88,0.83,2,3,15,4,24
dj,1.94,0.75,0.88,0.78,2,4,14,4,24
dj,2.13,0.71,0.92,0.67,1,6,12,5,24
dj,2.31,0.71,1.0,0.61,0,7,11,6,24
dj,2.5,0.58,1.0,0.44,0,10,8,6,24
dj,2.68,0.58,1.0,0.44,0,10,8,6,24
dj,2.86,0.54,1.0,0.39,0,11,7,6,24
