program,Q#5,Q#10,Q#15,Q#20,Q#25,Q#29
ae,0.8666666666666667,0.9333333333333332,1.0,1.0,0.9666666666666667,1.0
dj,1.0,0.7333333333333334,0.7000000000000001,1.0,0.9333333333333332,1.0
ghz,1.0,1.0,0.8333333333333334,0.9333333333333332,0.8333333333333334,1.0
graphstate,0.7333333333333334,1.0,1.0,1.0,1.0,1.0
qnn,0.7999999999999999,1.0,1.0,1.0,0.9666666666666667,1.0
random,0.8333333333333334,1.0,1.0,1.0,1.0,1.0
realamprandom,1.0,1.0,1.0,1.0,1.0,1.0
su2random,0.9333333333333332,1.0,1.0,1.0,1.0,1.0
twolocalrandom,0.6,1.0,1.0,1.0,1.0,1.0
wstate,0.43333333333333335,1.0,1.0,1.0,1.0,1.0
