Program,Mutant,Fitness,GroundTruth
ae_indep_qiskit_29.qasm,f1,0.3103426076333373,1
ae_indep_qiskit_29.qasm,f2,0.33854812894070635,1
ae_indep_qiskit_29.qasm,f3,1.3252301729130196,1
ae_indep_qiskit_29.qasm,e1,0.0035272471902589968,0
ae_indep_qiskit_29.qasm,e2,0.00030463504166784955,0
ae_indep_qiskit_29.qasm,e3,0.05239760515048701,0
dj_indep_qiskit_29.qasm,f1,1.2194275721018841,1
dj_indep_qiskit_29.qasm,f2,4.662124148332508,1
dj_indep_qiskit_29.qasm,f3,0.5814459550679726,1
dj_indep_qiskit_29.qasm,e1,0.036488217678298594,0
dj_indep_qiskit_29.qasm,e2,0.23,0
dj_indep_qiskit_29.qasm,e3,0.028721939513017415,0
ghz_indep_qiskit_29.qasm,f1,0.8565655279248547,1
ghz_indep_qiskit_29.qasm,f2,3.1943410792399014,1
ghz_indep_qiskit_29.qasm,f3,2.2701608057281364,1
ghz_indep_qiskit_29.qasm,e1,0.034382380589765844,0
ghz_indep_qiskit_29.qasm,e2,0.14352072110598804,0
ghz_indep_qiskit_29.qasm,e3,0.12457758029778726,0
graphstate_indep_qiskit_29.qasm,f1,0.026537476226770915,1
graphstate_indep_qiskit_29.qasm,f2,0.1712549367293835,1
graphstate_indep_qiskit_29.qasm,f3,0.12178443573705573,1
graphstate_indep_qiskit_29.qasm,e1,0.01710728348599267,0
graphstate_indep_qiskit_29.qasm,e2,0.0656884730667959,0
graphstate_indep_qiskit_29.qasm,e3,0.021127121401273166,0
qnn_indep_qiskit_29.qasm,f1,0.09993768929620928,1
qnn_indep_qiskit_29.qasm,f2,0.08210419480155408,1
qnn_indep_qiskit_29.qasm,f3,0.13367742043074032,1
qnn_indep_qiskit_29.qasm,e1,0.004907029419122697,0
qnn_indep_qiskit_29.qasm,e2,0.00741866421955105,0
qnn_indep_qiskit_29.qasm,e3,0.0,0
random_indep_qiskit_29.qasm,f1,0.34350951755577214,1
random_indep_qiskit_29.qasm,f2,0.10568505237695663,1
random_indep_qiskit_29.qasm,f3,0.0011064983692759232,1
random_indep_qiskit_29.qasm,e1,0.02382236728289677,0
random_indep_qiskit_29.qasm,e2,0.022767486300705003,0
random_indep_qiskit_29.qasm,e3,0.005759574050703166,0
realamprandom_indep_qiskit_29.qasm,f1,0.059040505171125454,1
realamprandom_indep_qiskit_29.qasm,f2,0.10927847686301433,1
realamprandom_indep_qiskit_29.qasm,f3,0.0625612807831387,1
realamprandom_indep_qiskit_29.qasm,e1,0.00010751076571963174,0
realamprandom_indep_qiskit_29.qasm,e2,0.02308585235611466,0
realamprandom_indep_qiskit_29.qasm,e3,0.004663692855964782,0
su2random_indep_qiskit_29.qasm,f1,0.3234362499825415,1
su2random_indep_qiskit_29.qasm,f2,0.08501208374185604,1
su2random_indep_qiskit_29.qasm,f3,0.13451836025529607,1
su2random_indep_qiskit_29.qasm,e1,0.0003855127127133432,0
su2random_indep_qiskit_29.qasm,e2,0.009035696347080718,0
su2random_indep_qiskit_29.qasm,e3,0.012219936450176418,0
twolocalrandom_indep_qiskit_29.qasm,f1,0.19538216394987307,1
twolocalrandom_indep_qiskit_29.qasm,f2,0.13319269070659848,1
twolocalrandom_indep_qiskit_29.qasm,f3,0.15307271242326548,1
twolocalrandom_indep_qiskit_29.qasm,e1,0.004344686731337942,0
twolocalrandom_indep_qiskit_29.qasm,e2,0.010785867209618912,0
twolocalrandom_indep_qiskit_29.qasm,e3,0.018167350869863173,0
wstate_indep_qiskit_29.qasm,f1,1.0011429031472783,1
wstate_indep_qiskit_29.qasm,f2,0.9603067182740181,1
wstate_indep_qiskit_29.qasm,f3,0.6085749640332632,1
wstate_indep_qiskit_29.qasm,e1,0.04758650735571604,0
wstate_indep_qiskit_29.qasm,e2,0.04306192088091624,0
wstate_indep_qiskit_29.qasm,e3,0.030728071711614485,0
