threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.1,0.83,0.88,0.77,0.9,0.83,0.83,3,7,23,27
0.28,0.73,1.0,0.47,1.0,0.73,0.71,0,16,14,30
0.47,0.67,1.0,0.33,1.0,0.67,0.62,0,20,10,30
0.65,0.63,1.0,0.27,1.0,0.63,0.58,0,22,8,30
0.84,0.63,1.0,0.27,1.0,0.63,0.58,0,22,8,30
1.02,0.58,1.0,0.17,1.0,0.58,0.5,0,25,5,30
1.2,0.58,1.0,0.17,1.0,0.58,0.5,0,25,5,30
1.39,0.55,1.0,0.1,1.0,0.55,0.44,0,27,3,30
1.57,0.55,1.0,0.1,1.0,0.55,0.44,0,27,3,30
1.76,0.55,1.0,0.1,1.0,0.55,0.44,0,27,3,30
1.94,0.55,1.0,0.1,1.0,0.55,0.44,0,27,3,30
2.13,0.55,1.0,0.1,1.0,0.55,0.44,0,27,3,30
2.31,0.53,1.0,0.07,1.0,0.53,0.4,0,28,2,30
2.49,0.53,1.0,0.07,1.0,0.53,0.4,0,28,2,30
2.68,0.53,1.0,0.07,1.0,0.53,0.4,0,28,2,30
2.86,0.53,1.0,0.07,1.0,0.53,0.4,0,28,2,30
3.05,0.53,1.0,0.07,1.0,0.53,0.4,0,28,2,30
3.23,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
3.41,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
3.6,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
3.78,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
3.97,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
4.15,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
4.34,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
4.52,0.52,1.0,0.03,1.0,0.52,0.37,0,29,1,30
4.7,0.5,,0.0,1.0,0.5,0.33,0,30,0,30
4.89,0.5,,0.0,1.0,0.5,0.33,0,30,0,30
5.07,0.5,,0.0,1.0,0.5,0.33,0,30,0,30
5.26,0.5,,0.0,1.0,0.5,0.33,0,30,0,30
5.44,0.5,,0.0,1.0,0.5,0.33,0,30,0,30
