program,Q#5,Q#10,Q#15,Q#20,Q#25,Q#29
ae,0.3333333333333333,0.3666666666666667,0.3333333333333333,0.3666666666666667,0.3333333333333333,0.4666666666666666
dj,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3666666666666667
ghz,0.9,1.0,0.9,1.0,1.0,1.0
graphstate,0.3333333333333333,0.0,0.06666666666666667,0.0,0.03333333333333333,0.10000000000000002
qnn,0.6333333333333333,0.5333333333333333,0.03333333333333333,0.7666666666666666,0.0,0.06666666666666667
random,0.2333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.06666666666666667,0.0
realamprandom,0.0,0.10000000000000002,0.0,0.0,0.03333333333333333,0.03333333333333333
su2random,0.2333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.09999999999999999,0.0
twolocalrandom,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.10000000000000002
wstate,0.0,0.10000000000000002,0.26666666666666666,0.06666666666666667,0.03333333333333333,0.03333333333333333
